,age,job,marital,education,balance,housing,duration,campaign,approval
0,30.0,unemployed,married,primary,1787,no,79.0,1,no
1,33.0,services,married,secondary,4789,yes,220.0,1,no
2,35.0,management,single,tertiary,1350,yes,185.0,1,no
3,30.0,management,married,tertiary,1476,yes,199.0,4,no
4,59.0,blue-collar,married,secondary,0,yes,226.0,1,no
5,35.0,management,single,tertiary,747,no,141.0,2,no
6,36.0,self-employed,married,tertiary,307,yes,341.0,1,no
7,39.0,technician,married,secondary,147,yes,151.0,2,no
8,41.0,entrepreneur,married,tertiary,221,yes,57.0,2,no
9,43.0,services,married,primary,-88,yes,313.0,1,no
10,39.0,services,married,secondary,9374,yes,273.0,1,no
11,43.0,admin.,married,secondary,264,yes,113.0,2,no
12,36.0,technician,married,tertiary,1109,no,-328.0,2,no
13,20.0,student,single,secondary,502,no,261.0,1,yes
14,31.0,blue-collar,married,secondary,360,yes,89.0,1,no
15,40.0,management,married,tertiary,194,no,189.0,2,no
16,56.0,technician,married,secondary,4073,no,239.0,5,no
17,37.0,admin.,single,tertiary,2317,yes,114.0,1,no
18,25.0,blue-collar,single,primary,-221,,250.0,1,no
19,31.0,services,married,secondary,132,no,148.0,1,no
20,38.0,management,divorced,unknown,0,yes,-96.0,2,no
21,42.0,management,divorced,tertiary,16,no,140.0,3,no
22,44.0,services,single,secondary,106,no,109.0,2,no
23,44.0,entrepreneur,married,secondary,93,no,125.0,2,no
24,26.0,housemaid,married,tertiary,543,no,169.0,3,no
25,41.0,management,married,tertiary,5883,no,182.0,2,no
26,55.0,blue-collar,married,primary,627,yes,247.0,1,no
27,67.0,retired,married,unknown,696,no,119.0,1,no
28,56.0,self-employed,married,secondary,784,no,149.0,2,no
29,53.0,admin.,married,secondary,105,no,74.0,2,no
30,68.0,retired,divorced,secondary,4189,no,897.0,2,yes
31,31.0,technician,married,secondary,171,no,81.0,3,no
32,59.0,management,married,secondary,42,no,40.0,1,no
33,32.0,management,single,tertiary,2536,yes,958.0,6,yes
34,49.0,technician,married,tertiary,1235,no,354.0,3,yes
35,42.0,admin.,divorced,secondary,1811,yes,150.0,1,no
36,78.0,retired,divorced,primary,229,no,97.0,1,yes
37,32.0,blue-collar,married,secondary,2089,yes,132.0,1,yes
38,0.0,management,married,secondary,3935,yes,765.0,1,yes
39,23.0,services,single,tertiary,363,yes,16.0,18,no
40,38.0,management,single,tertiary,11971,yes,609.0,2,no
41,36.0,management,single,tertiary,553,no,106.0,2,no
42,52.0,blue-collar,married,secondary,1117,yes,365.0,1,no
43,32.0,technician,married,tertiary,396,yes,205.0,3,no
44,32.0,technician,single,tertiary,2204,yes,11.0,4,no
45,34.0,management,single,tertiary,872,yes,105.0,2,no
46,55.0,blue-collar,married,primary,145,no,59.0,3,no
47,26.0,blue-collar,married,primary,0,yes,425.0,1,no
48,32.0,entrepreneur,single,primary,-849,yes,204.0,1,no
49,,admin.,married,unknown,4629,yes,181.0,1,yes
50,45.0,blue-collar,divorced,primary,844,no,1018.0,3,yes
51,37.0,technician,single,secondary,228,yes,1740.0,2,no
52,38.0,technician,single,secondary,50,no,98.0,2,no
53,34.0,technician,married,tertiary,1539,yes,441.0,1,yes
54,53.0,blue-collar,married,secondary,2231,yes,272.0,3,no
55,48.0,admin.,married,secondary,3064,yes,159.0,2,no
56,57.0,management,married,secondary,82,no,140.0,1,no
57,33.0,self-employed,single,tertiary,2155,no,295.0,1,no
58,36.0,retired,single,secondary,101,yes,314.0,1,no
59,54.0,technician,divorced,secondary,784,,579.0,1,no
60,41.0,blue-collar,married,primary,-516,no,554.0,3,no
61,63.0,retired,married,secondary,415,yes,323.0,1,no
62,48.0,management,married,tertiary,5887,no,227.0,2,no
63,48.0,services,married,secondary,1355,no,134.0,2,no
64,56.0,admin.,married,secondary,16873,no,223.0,1,no
65,51.0,blue-collar,divorced,secondary,203,yes,134.0,1,no
66,31.0,services,married,secondary,338,yes,155.0,1,no
67,29.0,technician,married,secondary,444,yes,130.0,4,no
68,41.0,management,married,secondary,0,no,630.0,3,no
69,32.0,technician,single,tertiary,360,no,164.0,2,no
70,37.0,management,married,tertiary,0,no,268.0,2,yes
71,42.0,entrepreneur,divorced,tertiary,2,yes,380.0,1,no
72,31.0,management,single,tertiary,6248,yes,154.0,2,no
73,41.0,services,married,tertiary,412,yes,154.0,5,no
74,56.0,retired,married,secondary,344,yes,221.0,1,no
75,54.0,management,divorced,tertiary,3222,no,67.0,2,no
76,41.0,blue-collar,divorced,secondary,174,yes,367.0,2,no
77,40.0,technician,single,secondary,591,no,87.0,6,no
78,50.0,blue-collar,divorced,primary,388,no,701.0,1,no
79,40.0,unemployed,married,secondary,219,yes,204.0,2,no
80,27.0,admin.,divorced,secondary,451,yes,652.0,1,yes
81,60.0,retired,married,primary,5,no,63.0,2,no
82,28.0,admin.,single,secondary,177,yes,150.0,1,no
83,52.0,services,married,secondary,657,no,398.0,2,yes
84,37.0,management,married,tertiary,1315,no,224.0,1,yes
85,51.0,blue-collar,married,primary,1466,yes,406.0,2,no
86,41.0,technician,single,secondary,879,no,60.0,4,no
87,35.0,blue-collar,single,primary,293,yes,521.0,2,no
88,38.0,admin.,married,secondary,424,yes,279.0,1,no
89,34.0,blue-collar,married,secondary,1831,yes,203.0,2,no
90,39.0,blue-collar,married,primary,111,no,201.0,2,no
91,34.0,blue-collar,married,primary,455,,372.0,3,no
92,27.0,services,single,secondary,-195,yes,391.0,1,yes
93,32.0,management,single,tertiary,3616,no,165.0,2,no
94,57.0,blue-collar,married,secondary,14093,no,231.0,5,no
95,41.0,unknown,single,tertiary,1567,no,291.0,2,no
96,41.0,admin.,married,tertiary,5426,yes,149.0,2,no
97,30.0,admin.,single,tertiary,261,no,233.0,1,no
98,36.0,blue-collar,divorced,secondary,2843,no,473.0,1,no
99,31.0,unemployed,single,primary,406,no,736.0,1,yes
100,36.0,blue-collar,married,secondary,0,yes,337.0,1,no
101,38.0,management,single,tertiary,493,yes,553.0,1,no
102,49.0,technician,married,secondary,5996,no,345.0,2,no
103,57.0,services,single,primary,3777,yes,65.0,2,no
104,34.0,management,single,secondary,524,no,9.0,1,no
105,32.0,management,single,tertiary,574,yes,259.0,2,no
106,37.0,blue-collar,married,secondary,427,yes,371.0,3,no
107,33.0,self-employed,married,tertiary,483,yes,280.0,2,no
108,56.0,unemployed,married,primary,3391,no,243.0,1,yes
109,27.0,housemaid,married,primary,0,yes,435.0,3,no
110,21.0,student,single,secondary,2488,no,258.0,6,yes
111,58.0,management,married,tertiary,1517,yes,7.0,5,no
112,32.0,self-employed,married,secondary,217,yes,317.0,5,no
113,33.0,blue-collar,single,secondary,22,no,76.0,2,no
