label,text
ham,"Hi, how are you doing today?"
spam,"Congratulations! You've won a $1000 gift card. Click here to claim."
ham,"Don't forget to bring the documents."
spam,"You have been selected for a free vacation. Call now!"
ham,"Let's meet at the coffee shop at 5 PM."
spam,"URGENT! Your account has been compromised. Reset your password now."
ham,"Thanks for your help yesterday, I appreciate it."
spam,"Claim your free reward points now, limited time offer!"
ham,"Please review the attached file and send feedback."
spam,"You won a lottery of $10,000. Contact us immediately!"
ham,"Looking forward to our trip next week!"
spam,"Act now! This exclusive deal won't last long!"
ham,"Can we reschedule our meeting to tomorrow?"
spam,"Click here to win a brand new iPhone!"
ham,"I've submitted the report. Let me know if you need edits."
spam,"Winner! You've been selected for a luxury cruise."
ham,"Lunch tomorrow? Let me know your time."
spam,"Your loan is approved. Apply now to get instant cash!"
ham,"Great job on the presentation today!"
spam,"Increase your credit score in 24 hours. Click now!"
ham,"Thanks for the birthday wishes!"
spam,"Earn $500 daily from home. No skills needed."
ham,"The documents are ready for review."
spam,"Free bitcoins waiting for you! Don't miss out!"
ham,"Are you joining the team call later?"
spam,"Hot singles in your area waiting to meet you!"
ham,"Let's finalize the project by Friday."
spam,"This is your last chance to claim your reward."
ham,"I'll be late to the party tonight."
spam,"Double your income with this secret method!"
ham,"See you at the gym later?"
spam,"Work from home and earn big today!"
ham,"Happy anniversary! Wishing you all the best."
spam,"Your car warranty is about to expire. Renew now!"
ham,"Did you receive my last email?"
spam,"Limited offer! Shop now and save 70%!"
ham,"Call me when you're free this evening."
spam,"You’ve been selected for a $500 shopping voucher."
ham,"Here’s the recipe you asked for!"
spam,"You won't believe this trick to lose weight!"
ham,"I’ll forward the invite to the new member."
spam,"100% guaranteed returns in crypto trading!"
ham,"Do you have time for a quick call?"
spam,"Instant approval credit card. Apply now!"
ham,"That’s a great idea, I’ll start working on it."
spam,"Your PayPal has been suspended. Login to verify."
ham,"Can you send me the link again?"
spam,"Congratulations! You just qualified for free airfare."
ham,"Let me know when you’re available to chat."
spam,"Act fast! This deal is ending soon."
ham,"Thanks again for the recommendation!"
spam,"Get rid of belly fat in 7 days. Try this now!"
