appliance_type,brand,capacity_l,star_rating,features,price
Fridge,LG,225.0,3.0,Side-by-Side,22732
Air Cooler,Voltas,,,Tower,5159
Air Cooler,Kenstar,,,Portable,6433
TV,Samsung,,4.0,Smart,32531
Fridge,Godrej,250.0,5.0,Single Door,33786
Washing Machine,Whirlpool,5.0,2.0,Top Load,20624
TV,LG,,,HD Ready,24813
Air Conditioner,Daikin,,3.0,Inverter,40817
Washing Machine,IFB,6.0,3.0,Semi-Automatic,27442
Washing Machine,Samsung,9.0,5.0,Semi-Automatic,30053
Washing Machine,IFB,5.0,,Front Load,16584
Air Cooler,Kenstar,,5.0,Portable,12945
TV,Samsung,,4.0,HD Ready,32340
Fridge,Whirlpool,411.0,5.0,Side-by-Side,23279
Fridge,Voltas,109.0,4.0,Double Door,17651
Air Conditioner,LG,,4.0,Split,58026
Air Conditioner,Daikin,,5.0,Window,51899
TV,Mi,,,4K,37566
Washing Machine,LG,6.0,,Top Load,12003
TV,Mi,,5.0,Android,47283
Air Cooler,Symphony,,,Tower,11409
Fridge,LG,155.0,3.0,Double Door,21721
Air Cooler,Symphony,,4.0,Portable,5797
Fridge,Samsung,348.0,4.0,Single Door,30325
Fridge,Godrej,246.0,4.0,Double Door,28076
Washing Machine,LG,5.0,5.0,Semi-Automatic,22335
Air Conditioner,Daikin,,5.0,Split,49952
Air Conditioner,Daikin,,5.0,Inverter,47561
TV,LG,,2.0,HD Ready,36465
Fridge,LG,388.0,5.0,Double Door,16818
TV,Samsung,,3.0,Android,35560
Air Conditioner,Voltas,,,Inverter,42002
Air Conditioner,Daikin,,3.0,Inverter,56044
Fridge,LG,241.0,4.0,Side-by-Side,15105
Air Cooler,Kenstar,,4.0,Window,13356
TV,TCL,,4.0,Android,37757
Washing Machine,LG,8.0,5.0,Front Load,18674
Air Cooler,Voltas,,3.0,Tower,5174
Fridge,Godrej,335.0,2.0,Single Door,27160
Washing Machine,Godrej,5.0,3.0,Front Load,25353
Fridge,LG,397.0,2.0,Double Door,24682
TV,Mi,,4.0,Smart,45368
Air Conditioner,Daikin,,4.0,Window,44758
TV,Mi,,4.0,HD Ready,28346
Washing Machine,IFB,8.0,3.0,Semi-Automatic,11773
Air Conditioner,Carrier,,3.0,Inverter,57261
Washing Machine,LG,10.0,5.0,Front Load,33046
TV,LG,,2.0,Android,45835
Air Conditioner,Daikin,,4.0,Inverter,33173
Air Cooler,Symphony,,5.0,Tower,3534
Air Cooler,Kenstar,,5.0,Window,11665
Washing Machine,Godrej,6.0,3.0,Front Load,20210
Air Cooler,Voltas,,3.0,Window,10415
Washing Machine,Samsung,10.0,2.0,Front Load,14326
Air Cooler,Bajaj,,2.0,Tower,7256
TV,Sony,,4.0,4K,31005
Air Cooler,Blue Star,,4.0,Window,7798
Air Cooler,Symphony,,2.0,Portable,5805
TV,Mi,,4.0,HD Ready,18169
TV,LG,,,Smart,14852
Air Cooler,Voltas,,2.0,Window,6934
Washing Machine,Whirlpool,5.0,5.0,Top Load,29178
Air Conditioner,Daikin,,3.0,Split,53783
TV,Samsung,,,HD Ready,44308
Washing Machine,Godrej,10.0,5.0,Top Load,33564
Air Conditioner,Voltas,,2.0,Window,49214
Fridge,Godrej,349.0,2.0,Double Door,23555
Air Conditioner,Voltas,,,Inverter,41577
Air Cooler,Bajaj,,,Portable,7705
Air Conditioner,Voltas,,5.0,Window,53845
TV,Sony,,,Android,28158
Air Cooler,Blue Star,,5.0,Window,5461
TV,Samsung,,3.0,Android,32565
Fridge,Voltas,345.0,4.0,Double Door,31287
Air Cooler,Voltas,,4.0,Tower,6807
Air Conditioner,Voltas,,2.0,Split,49773
Air Cooler,Blue Star,,4.0,Window,5187
Washing Machine,Whirlpool,6.0,,Semi-Automatic,17368
Air Cooler,Kenstar,,3.0,Portable,11253
Washing Machine,Whirlpool,10.0,5.0,Semi-Automatic,26582
Washing Machine,Whirlpool,5.0,,Top Load,21998
TV,Mi,,5.0,HD Ready,18084
TV,Samsung,,2.0,Smart,17761
Air Cooler,Blue Star,,5.0,Tower,10372
TV,Sony,,2.0,Smart,48803
Air Conditioner,LG,,,Window,60102
Fridge,Voltas,127.0,4.0,Double Door,22258
Fridge,Samsung,167.0,5.0,Double Door,26424
Air Conditioner,Daikin,,2.0,Inverter,41171
Fridge,Godrej,355.0,2.0,Single Door,39900
Air Cooler,Bajaj,,4.0,Tower,4367
Air Cooler,Blue Star,,3.0,Window,5640
Air Cooler,Blue Star,,5.0,Portable,5868
Air Cooler,Voltas,,4.0,Portable,9632
Air Conditioner,Carrier,,,Window,34126
Washing Machine,LG,7.0,3.0,Front Load,36189
Air Conditioner,Blue Star,,4.0,Window,40966
Fridge,Godrej,327.0,,Single Door,19779
Fridge,Whirlpool,320.0,3.0,Double Door,18466
Washing Machine,LG,9.0,4.0,Semi-Automatic,19779
TV,Mi,,,HD Ready,27224
TV,TCL,,4.0,HD Ready,26491
Washing Machine,Godrej,9.0,3.0,Semi-Automatic,34037
Fridge,Voltas,410.0,,Side-by-Side,38314
Washing Machine,IFB,10.0,2.0,Front Load,30696
Air Conditioner,Voltas,,2.0,Inverter,36700
Air Conditioner,Voltas,,5.0,Inverter,48492
Fridge,Godrej,486.0,2.0,Single Door,23630
Air Cooler,Voltas,,5.0,Portable,7685
Washing Machine,Godrej,9.0,5.0,Top Load,33715
TV,Mi,,2.0,Smart,46245
Air Conditioner,Daikin,,4.0,Window,52871
Fridge,Godrej,243.0,4.0,Side-by-Side,15893
Washing Machine,Whirlpool,9.0,3.0,Top Load,22530
Fridge,Godrej,428.0,2.0,Single Door,34951
Washing Machine,IFB,9.0,,Top Load,32385
Washing Machine,IFB,6.0,3.0,Top Load,30408
Fridge,Samsung,221.0,3.0,Single Door,32509
Washing Machine,Godrej,10.0,,Semi-Automatic,28036
Fridge,Godrej,414.0,2.0,Side-by-Side,17055
Fridge,LG,318.0,4.0,Double Door,39165
Fridge,Whirlpool,133.0,2.0,Side-by-Side,18342
Air Cooler,Kenstar,,4.0,Window,11683
Washing Machine,Godrej,8.0,4.0,Front Load,15839
TV,Sony,,4.0,Android,22158
TV,LG,,5.0,Smart,43477
Fridge,Whirlpool,280.0,3.0,Side-by-Side,19083
Air Cooler,Symphony,,3.0,Tower,10524
TV,Samsung,,3.0,Android,15719
Air Cooler,Voltas,,,Tower,9021
TV,LG,,3.0,HD Ready,19211
Air Conditioner,LG,,,Inverter,53665
TV,LG,,3.0,Smart,45077
Washing Machine,Godrej,5.0,,Semi-Automatic,21061
TV,Samsung,,4.0,Smart,39966
Air Conditioner,Voltas,,4.0,Split,45874
Air Cooler,Kenstar,,4.0,Portable,9603
Air Conditioner,Blue Star,,3.0,Inverter,51389
Fridge,Godrej,213.0,3.0,Double Door,26086
Air Conditioner,Daikin,,3.0,Window,36638
Air Conditioner,Daikin,,,Inverter,47720
TV,LG,,,4K,34286
Air Conditioner,LG,,4.0,Window,30668
Fridge,Voltas,296.0,5.0,Side-by-Side,29478
Air Conditioner,Blue Star,,2.0,Inverter,58712
Washing Machine,LG,8.0,4.0,Top Load,30888
TV,Mi,,3.0,4K,35318
Air Conditioner,Blue Star,,3.0,Window,47294
Air Cooler,Symphony,,,Window,3475
Air Cooler,Kenstar,,,Portable,7384
Washing Machine,Samsung,7.0,,Top Load,30224
Air Conditioner,Daikin,,4.0,Inverter,27545
TV,LG,,5.0,4K,29602
Air Cooler,Symphony,,5.0,Portable,10953
Washing Machine,Samsung,7.0,2.0,Semi-Automatic,33923
Air Conditioner,LG,,,Window,52045
Washing Machine,Godrej,8.0,,Front Load,24572
Fridge,Whirlpool,263.0,,Single Door,16402
TV,Mi,,4.0,Android,19075
Washing Machine,IFB,9.0,5.0,Semi-Automatic,14142
Fridge,Samsung,334.0,5.0,Double Door,17646
Air Conditioner,Carrier,,2.0,Split,51067
Fridge,Voltas,369.0,,Double Door,34405
Air Cooler,Voltas,,4.0,Window,3093
Fridge,Voltas,168.0,3.0,Side-by-Side,17300
Air Cooler,Symphony,,,Tower,5345
Fridge,Whirlpool,303.0,5.0,Double Door,31965
TV,Samsung,,3.0,HD Ready,40603
Washing Machine,Godrej,7.0,4.0,Semi-Automatic,20502
Air Conditioner,Daikin,,3.0,Inverter,44912
Air Conditioner,Blue Star,,4.0,Split,43612
Fridge,LG,286.0,4.0,Side-by-Side,33288
Air Conditioner,Blue Star,,2.0,Split,51979
Air Conditioner,LG,,2.0,Inverter,34191
TV,Mi,,3.0,HD Ready,26777
Air Conditioner,LG,,3.0,Window,36620
Washing Machine,LG,10.0,2.0,Front Load,15128
Air Conditioner,Voltas,,2.0,Window,39415
Washing Machine,Samsung,7.0,,Front Load,31258
Fridge,LG,467.0,4.0,Double Door,39927
Air Conditioner,LG,,3.0,Split,35006
Air Conditioner,Carrier,,2.0,Split,34273
Washing Machine,Samsung,7.0,2.0,Front Load,21908
Air Conditioner,Voltas,,3.0,Split,36917
Air Conditioner,Carrier,,5.0,Window,39956
Air Conditioner,Blue Star,,,Inverter,55653
Air Cooler,Blue Star,,,Portable,9768
TV,TCL,,3.0,Android,41239
Air Conditioner,LG,,2.0,Window,32628
Fridge,Whirlpool,314.0,5.0,Double Door,24260
Washing Machine,Godrej,8.0,4.0,Semi-Automatic,28367
Air Cooler,Symphony,,5.0,Tower,10278
Air Conditioner,LG,,4.0,Split,27605
